img_path,pred_color1,pred_color2,hsv0_h,hsv0_s,hsv0_v,hsv1_h,hsv1_s,hsv1_v,hex0,hex1,ratio0,ratio1,center_ratio,margin_ratio
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6989.JPG,白色,,56,28,254,,,,#fefce2,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Metformin HCL 500mg tab\IMG_6990.JPG,白色,,200,46,252,,,,#cfedfc,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Sennoside A+B 12.5mg\IMG_2774.HEIC,白色,,206,26,236,,,,#d4e2ec,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Sennoside A+B 12.5mg\IMG_2775.HEIC,白色,,204,23,240,210,36,213,#dae7f0,#b7c6d5,0.649,0.351,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Sennoside A+B 12.5mg\IMG_2776.HEIC,白色,,206,22,240,,,,#dbe7f0,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Sennoside A+B 12.5mg\IMG_2777.HEIC,白色,,210,41,203,206,26,238,#aabacb,#d6e4ee,0.537,0.463,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\MAGnesium Oxide 250mg tab\IMG_7008.JPG,白色,,54,32,253,,,,#fdfadd,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\MAGnesium Oxide 250mg tab\IMG_7009.JPG,灰色,白色,54,16,174,50,15,206,#aeada3,#ceccc2,0.509,0.491,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\MAGnesium Oxide 250mg tab\IMG_7010.JPG,白色,,60,5,220,76,4,234,#dcdcd8,#e9eae6,0.599,0.401,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\MAGnesium Oxide 250mg tab\IMG_7011.JPG,白色,,214,53,250,,,,#c6ddfa,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_6999.JPG,白色,,40,26,241,,,,#f1e9d8,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7001.JPG,白色,,100,3,227,72,7,195,#e1e3e0,#c2c3be,0.639,0.361,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7002.JPG,白色,,180,3,227,72,7,194,#e0e3e3,#c1c2bd,0.678,0.322,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7003.JPG,白色,,218,40,249,226,36,222,#d2e0f9,#bfc6de,0.532,0.468,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7004.JPG,白色,,218,53,231,,,,#b7c9e7,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7005.JPG,白色,,56,16,228,,,,#e4e3d6,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7006.JPG,白色,,90,5,222,,,,#dcdeda,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\IMG_7007.JPG,白色,,196,5,223,,,,#dbdedf,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Acetaminophen 500mg tab\Sinphar.JPG,白色,灰色,60,5,218,50,8,190,#dadad6,#bebdb8,0.505,0.495,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\CT_back.JPG,灰色,,42,22,185,,,,#b9b4a9,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6991.JPG,白色,,70,7,205,84,6,228,#cccdc7,#e2e4df,0.51,0.49,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6992.JPG,白色,,60,16,234,,,,#eaeadb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6993.JPG,紅色,黑色,40,89,63,42,133,46,#3f3829,#2e2716,0.527,0.473,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6994.JPG,白色,,66,10,231,,,,#e6e7de,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6995.JPG,白色,,46,47,240,,,,#f0e5c4,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6996.JPG,白色,,100,3,230,72,6,212,#e4e6e3,#d3d4cf,0.568,0.432,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6997.JPG,白色,,212,51,252,,,,#cae1fc,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Dimethicone 40mg tab\IMG_6998.JPG,白色,,212,57,250,,,,#c2dcfa,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2847.HEIC,紅色,灰色,30,199,64,76,12,172,#40270e,#aaaca4,0.558,0.442,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2848.HEIC,紅色,,28,220,66,,,,#422409,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2849.HEIC,紅色,,28,222,62,34,201,113,#3e2208,#714a18,0.613,0.387,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2850.HEIC,紅色,,28,223,64,34,196,120,#402308,#78501c,0.611,0.389,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2851.HEIC,紅色,,34,228,150,,,,#965b10,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Aspirin 100mg cap（鋁箔 膠箔）\IMG_2852.HEIC,紅色,,32,226,147,,,,#935811,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Ambroxol 30mg tab\IMG_2803.HEIC,白色,,202,17,238,,,,#dee8ee,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Ambroxol 30mg tab\IMG_2804.HEIC,白色,,208,18,235,,,,#dae3eb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Ambroxol 30mg tab\IMG_2805.HEIC,白色,,206,22,219,,,,#c8d3db,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Ambroxol 30mg tab\IMG_2806.HEIC,白色,,206,19,216,,,,#c8d1d8,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Ambroxol 30mg tab\IMG_2807.HEIC,白色,,206,16,230,,,,#d8e0e6,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Nicametate Citrate 50mg tab\IMG_2770.HEIC,其他,,78,242,137,82,255,63,#648907,#283f00,0.5,0.5,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Nicametate Citrate 50mg tab\IMG_2771.HEIC,其他,,80,255,88,76,237,144,#3b5800,#6c900a,0.51,0.49,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Nicametate Citrate 50mg tab\IMG_2772.HEIC,其他,,78,255,90,76,229,139,#405a00,#698b0e,0.551,0.449,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Nicametate Citrate 50mg tab\IMG_2773.HEIC,其他,,76,252,101,78,255,65,#4a6501,#2d4100,0.517,0.483,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mosapride 5mg tab_(鋁箔 膠箔)\IMG_2748.HEIC,白色,,200,15,251,,,,#ecf6fb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mosapride 5mg tab_(鋁箔 膠箔)\IMG_2749.HEIC,白色,,204,21,245,208,34,216,#e1edf5,#bbcad8,0.625,0.375,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mosapride 5mg tab_(鋁箔 膠箔)\IMG_2750.HEIC,白色,,202,21,248,,,,#e4f1f8,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mosapride 5mg tab_(鋁箔 膠箔)\IMG_2751.HEIC,白色,,196,15,250,,,,#ebf6fa,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mecobalamin膠囊 500mcg Cap\IMG_6983.JPG,皮膚色,,10,228,230,,,,#e63918,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mecobalamin膠囊 500mcg Cap\IMG_6984.JPG,紅色,,2,248,70,,,,#460402,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mecobalamin膠囊 500mcg Cap\MB.50e.jpg,紅色,,2,190,225,0,193,123,#e13d39,#7b1e1e,0.564,0.436,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Mecobalamin膠囊 500mcg Cap\MB50E.jpg,紅色,,2,239,142,,,,#8e0e09,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Strocain (Oxethazaine 5mg+Polymigel 244mg)\IMG_2752.HEIC,白色,,206,31,239,,,,#d2e2ef,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Strocain (Oxethazaine 5mg+Polymigel 244mg)\IMG_2753.HEIC,白色,,208,33,239,,,,#d0e1ef,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Strocain (Oxethazaine 5mg+Polymigel 244mg)\IMG_2754.HEIC,白色,,206,26,247,,,,#deecf7,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Strocain (Oxethazaine 5mg+Polymigel 244mg)\IMG_2755.HEIC,白色,,202,26,247,,,,#deeef7,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Strocain (Oxethazaine 5mg+Polymigel 244mg)\IMG_2756.HEIC,白色,,208,34,243,,,,#d3e4f3,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_1.PNG,紅色,,48,168,216,,,,#d8ba4a,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_2.jpg,黃色,,58,221,225,52,233,127,#e1db1e,#7f710b,0.534,0.466,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_3.jpg,黃色,,58,221,225,52,228,133,#e1db1e,#85760e,0.506,0.494,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_4.jpg,黃色,,58,218,233,56,226,151,#e9e122,#978d11,0.691,0.309,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_5.jpg,黃色,紅色,50,210,237,46,218,165,#edcb2a,#a58618,0.673,0.327,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_6.jpg,紅色,,48,204,238,,,,#eeca30,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_7.jpg,黃色,,50,201,248,,,,#f8d835,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Soma Capsules\STD511_8.jpg,黃色,,54,213,241,,,,#f1df28,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\concor 1.25mg (Bisoprolol)\IMG_2757.HEIC,白色,,202,23,248,,,,#e2f0f8,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\concor 1.25mg (Bisoprolol)\IMG_2758.HEIC,白色,,200,18,251,,,,#e9f5fb,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\concor 1.25mg (Bisoprolol)\IMG_2759.HEIC,白色,,198,20,250,,,,#e6f4fa,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\concor 1.25mg (Bisoprolol)\IMG_2760.HEIC,白色,,202,25,247,,,,#dfeef7,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\propranolol Hcl 10mg tab\IMG_2761.HEIC,紫色,,334,129,162,332,102,195,#a25074,#c3759a,0.601,0.399,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\propranolol Hcl 10mg tab\IMG_2762.HEIC,紫色,,334,127,167,,,,#a75479,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\propranolol Hcl 10mg tab\IMG_2763.HEIC,紫色,,334,135,142,332,111,170,#8e4363,#aa6082,0.565,0.435,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\propranolol Hcl 10mg tab\IMG_2764.HEIC,紫色,,332,127,166,,,,#a6537a,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\CONCOR 5MG TAB (BISOPROLOL)\IMG_2765.HEIC,白色,,120,5,239,,,,#eaefea,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\CONCOR 5MG TAB (BISOPROLOL)\IMG_2766.HEIC,白色,,120,4,235,102,9,210,#e7ebe7,#cdd2cb,0.517,0.483,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\CONCOR 5MG TAB (BISOPROLOL)\IMG_2767.HEIC,灰色,白色,98,11,186,108,6,223,#b5bab2,#dbdfda,0.524,0.476,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\CONCOR 5MG TAB (BISOPROLOL)\IMG_2768.HEIC,白色,灰色,100,7,217,84,15,169,#d5d9d3,#a5a99f,0.693,0.307,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\CONCOR 5MG TAB (BISOPROLOL)\IMG_2769.HEIC,白色,,94,11,200,108,5,234,#c3c8bf,#e6eae5,0.512,0.488,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Prednisolone 5mg tab\IMG_2799.HEIC,白色,,202,15,233,202,20,202,#dbe4e9,#bac4ca,0.564,0.436,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Prednisolone 5mg tab\IMG_2800.HEIC,白色,,198,14,236,202,20,208,#dfe8ec,#c0cad0,0.587,0.413,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Prednisolone 5mg tab\IMG_2801.HEIC,白色,,200,13,237,204,19,198,#e1e9ed,#b7c0c6,0.577,0.423,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Prednisolone 5mg tab\IMG_2802.HEIC,白色,,198,14,235,202,21,194,#dee7eb,#b2bcc2,0.56,0.44,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6964.JPG,白色,,66,12,233,,,,#e8e9de,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6965.JPG,白色,,322,8,245,,,,#f5edf2,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6966.JPG,白色,,194,35,245,,,,#d3edf5,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6967.JPG,白色,,80,10,239,,,,#ecefe6,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6968.JPG,白色,,200,47,252,,,,#ceecfc,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6969.JPG,白色,,76,13,238,,,,#ebeee2,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6970.JPG,白色,,70,12,235,,,,#e9ebe0,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\AmLODIpine脈優 5mg Tab\IMG_6971.JPG,白色,,60,23,253,,,,#fdfde6,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Diclofenac Potassium 25mg tab\IMG_2727.HEIC,透明,其他,356,49,147,358,64,92,#937779,#5c4546,0.558,0.442,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Diclofenac Potassium 25mg tab\IMG_2728.HEIC,透明,紅色,354,48,153,0,60,94,#997c7f,#5e4848,0.531,0.469,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Diclofenac Potassium 25mg tab\IMG_2729.HEIC,透明,其他,352,51,151,358,68,90,#97797d,#5a4243,0.532,0.468,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Diclofenac Potassium 25mg tab\IMG_2730.HEIC,透明,其他,350,53,148,356,69,93,#94757a,#5d4446,0.554,0.446,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\pitavastatin力清之 2mg tab\IMG_2731.HEIC,白色,,246,15,209,240,10,239,#c6c5d1,#e6e6ef,0.533,0.467,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\pitavastatin力清之 2mg tab\IMG_2732.HEIC,白色,,240,15,208,240,10,240,#c4c4d0,#e7e7f0,0.507,0.493,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\pitavastatin力清之 2mg tab\IMG_2733.HEIC,白色,,240,16,210,234,11,238,#c5c5d2,#e4e5ee,0.558,0.442,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\pitavastatin力清之 2mg tab\IMG_2734.HEIC,白色,,226,12,245,232,18,208,#e9ecf5,#c1c3d0,0.549,0.451,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Exforge (Amlodipine 5mg+Valsartan 80mg)\IMG_2795.HEIC,紅色,,44,155,133,44,116,165,#857034,#a5925a,0.643,0.357,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Exforge (Amlodipine 5mg+Valsartan 80mg)\IMG_2796.HEIC,紅色,,44,146,133,44,109,171,#857139,#ab9862,0.593,0.407,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Exforge (Amlodipine 5mg+Valsartan 80mg)\IMG_2797.HEIC,紅色,,44,176,122,46,124,162,#7a6426,#a28f53,0.595,0.405,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Exforge (Amlodipine 5mg+Valsartan 80mg)\IMG_2798.HEIC,紅色,,44,166,126,,,,#7e682c,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\eltroxin 0.05mg tab (levothyroxin)\IMG_2786.HEIC,白色,,208,22,230,210,28,204,#d2dde6,#b6c1cc,0.501,0.499,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\eltroxin 0.05mg tab (levothyroxin)\IMG_2787.HEIC,白色,,206,20,234,,,,#d8e2ea,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\eltroxin 0.05mg tab (levothyroxin)\IMG_2788.HEIC,白色,,206,20,230,210,25,202,#d4dee6,#b6c0ca,0.516,0.484,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\eltroxin 0.05mg tab (levothyroxin)\IMG_2789.HEIC,白色,,208,19,232,,,,#d7e0e8,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\eltroxin 0.05mg tab (levothyroxin)\IMG_2790.HEIC,白色,,206,18,229,210,23,203,#d5dee5,#b9c2cb,0.578,0.422,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Gliclazide代蜜 MR 30mg tab\IMG_2778.HEIC,白色,灰色,200,19,242,208,35,182,#e0ecf2,#9daab6,0.699,0.301,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Gliclazide代蜜 MR 30mg tab\IMG_2779.HEIC,白色,,202,20,239,,,,#dce8ef,,1.0,,0.6,0.06
C:\Users\92102\OneDrive - NTHU\桌面\大三下\畢業專題\drug_photos\Gliclazide代蜜 MR 30mg tab\IMG_2780.HEIC,白色,,206,22,241,,,,#dce8f1,,1.0,,0.6,0.06
